Rk,Player,,2018-19
138,Dante Exum,exumda01,9600000.00 
139,Jared Dudley,dudleja01,9530000.00 
140,Norman Powell,powelno01,9367200.00 
141,Josh Richardson,richajo01,9367200.00 
142,Bogdan Bogdanovic,bogdabo01,9000000.00 
143,Rajon Rondo,rondora01,9000000.00 
144,E'Twaun Moore,mooreet01,8808685.00 
145,Kosta Koufos,koufoko01,8739500.00 
146,Fred VanVleet,vanvlfr01,8653847.00 
147,Jerami Grant,grantje01,8653847.00 
148,Kyle Anderson,anderky01,8641000.00 
149,Julius Randle,randlju01,8641000.00 
150,Markieff Morris,morrima02,8600000.00 
151,Jerryd Bayless,bayleje01,8575916.00 
152,Cristiano Felicio,feliccr01,8470980.00 
153,Markelle Fultz,fultzma01,8339880.00 
154,Joe Harris,harrijo01,8333333.00 
155,CJ Miles,milescj01,8333333.00 
156,Shaun Livingston,livinsh01,8307692.00 
157,Deandre Ayton,aytonde01,8165160.00 
158,Lou Williams,willilo02,8000000.00 
159,Garrett Temple,templga01,8000000.00 
160,PJ Tucker,tuckepj01,7969537.00 
161,Cory Joseph,josepco01,7945000.00 
162,JaMychal Green,greenja01,7866667.00 
163,Karl-Anthony Towns,townska01,7839435.00 
164,Kyle Korver,korveky01,7560000.00 
165,Jeremy Lamb,lambje01,7488372.00 
166,Darrell Arthur,arthuda01,7464912.00 
167,Lonzo Ball,balllo01,7461960.00 
168,Doug McDermott,mcderdo01,7333334.00 
169,Jae Crowder,crowdja01,7305825.00 
170,Marvin Bagley,baglema01,7305600.00 
171,D.J. Augustin,augusdj01,7250000.00 
172,Dewayne Dedmon,dedmode01,7200000.00 
173,Lance Thomas,thomala01,7119650.00 
174,D'Angelo Russell,russeda01,7019698.00 
175,Langston Galloway,gallola01,7000000.00 
176,Ersan Ilyasova,ilyaser01,7000000.00 
177,Davis Bertans,bertada01,7000000.00 
178,Boban Marjanovic,marjabo01,7000000.00 
179,Al-Farouq Aminu,aminual01,6957105.00 
180,Jayson Tatum,tatumja01,6700800.00 
181,Luka Doncic,doncilu01,6560640.00 
182,Nemanja Bjelica,bjeline01,6500000.00 
183,Mario Hezonja,hezonma01,6500000.00 
184,Ben Simmons,simmobe01,6434520.00 
185,Miloš Teodosi?,teodomi01,6300000.00 
186,Wayne Ellington,ellinwa01,6270000.00 
187,Marco Belinelli,belinma01,6153846.00 
188,Wesley Johnson,johnswe01,6134520.00 
189,Josh Jackson,jacksjo02,6041520.00 
190,Montrezl Harrell,harremo01,6000000.00 
191,Jonathon Simmons,simmojo02,6000000.00 
192,Ish Smith,smithis01,6000000.00 
193,Jaren Jackson,jacksja02,5915040.00 
194,Brandon Ingram,ingrabr01,5757120.00 
195,Anthony Tolliver,tollian01,5750000.00 
196,Kristaps Porzi??is,porzikr01,5697054.00 
197,Deron Williams,willide01,5474787.00 
198,De'Aaron Fox,foxde01,5470920.00 
199,Ben McLemore,mclembe01,5460000.00 
200,Álex Abrines,abrinal01,5455236.00 
201,Patrick Patterson,pattepa01,5451600.00 
202,Jason Smith,smithja02,5450000.00 
203,Marcus Morris,morrima03,5375000.00 
204,Trae Young,youngtr01,5356440.00 
205,Dwight Howard,howardw01,5337000.00 
206,DeMarcus Cousins,couside01,5337000.00 
207,Josh Smith,smithjo03,5331729.00 
208,Alexis Ajinça,ajincal01,5285394.00 
209,Thabo Sefolosha,sefolth01,5250000.00 
210,Aron Baynes,baynear01,5193600.00 
211,Jaylen Brown,brownja02,5169960.00 
212,Patrick Beverley,beverpa01,5027028.00 
