Starter (=1),FULL NAME,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,TEAM,POS,Win %
,Domantas Sabonis,118.5,92.8,Ind,F,
,Aaron Holiday,102.5,100.4,Ind,G,
,Davon Reed,108.2,106.3,Ind,G,
,,,,,,0.5853658537
1,Marcin Gortat,110.8,99.9,Lac,C,
1,Danilo Gallinari,125.1,107.6,Lac,F,
1,Tobias Harris,114.8,106.7,Lac,F,
1,Patrick Beverley,119,101.7,Lac,G,
1,Avery Bradley,93.6,108.1,Lac,G,
,Boban Marjanovic,123.3,95.9,Lac,C,
,JaMychal Green,113.7,96.2,Lac,F,
,Johnathan Motley,106.7,94.7,Lac,F,
,Landry Shamet,120.1,110.1,Lac,G,
,Garrett Temple,106.9,100.3,Lac,G-F,
,,,,,,0.4512195122
1,JaVale McGee,117.9,98.3,Lal,C,
1,Brandon Ingram,104.2,106,Lal,F,
1,LeBron James,114.4,106.2,Lal,F,
1,Lonzo Ball,100.6,104.3,Lal,G,
1,Kentavious Caldwell-Pope,112.8,107.7,Lal,G,
,Tyson Chandler,122.7,99.5,Lal,C,
,Michael Beasley,98.8,96.9,Lal,F,
,Johnathan Williams,121.3,96.8,Lal,F,
,Alex Caruso,109.6,103.7,Lal,G,
,Scott Machado,165.4,105.6,Lal,G,
,,,,,,0.4024390244
1,Marc Gasol,106.6,101.5,Mem,C,
1,Kyle Anderson,110.8,102.3,Mem,F,
1,JaMychal Green,106.4,95.7,Mem,F,
1,Mike Conley,117.1,108.6,Mem,G,
1,Dillon Brooks,94.2,98.5,Mem,G-F,
,Tyler Zeller,126.8,93.4,Mem,C,
,Omri Casspi,113.1,104,Mem,F,
,Ivan Rabb,118.3,98.3,Mem,F,
,Andrew Harrison,96.8,94.3,Mem,G,
,Delon Wright,111.2,105.1,Mem,G,
,,,,,,0.4756097561
1,Hassan Whiteside,112.4,93.5,Mia,C,
1,James Johnson,102.1,101.4,Mia,F,
1,Josh Richardson,111.6,105,Mia,F,
1,Goran Dragic,106.6,104.5,Mia,G,
1,Dion Waiters,102.8,106.7,Mia,G,
,Bam Adebayo,120,97.2,Mia,C-F,
,Kelly Olynyk,113.9,100.1,Mia,F,
,Justise Winslow,102.6,101.5,Mia,F,
,Derrick Jones Jr.,113.7,100,Mia,F-G,
,Wayne Ellington,110.3,104.8,Mia,G,
,,,,,,0.7317073171
1,Brook Lopez,112.7,100.6,Mil,C,
1,Giannis Antetokounmpo,121.6,93.9,Mil,F,
1,Khris Middleton,108.9,100.7,Mil,F,
1,Eric Bledsoe,115.8,101,Mil,G,
1,Malcolm Brogdon,120.9,104.1,Mil,G,
,Jason Smith,80,91,Mil,F-C,
,Ersan Ilyasova,112.8,94.1,Mil,F,
,Thon Maker,112.5,94.1,Mil,F,
,Pat Connaughton,122.2,102.2,Mil,G,
,Tony Snell,119.1,103.6,Mil,G,
,,,,,,0.4390243902
1,Karl-Anthony Towns,118.5,100.6,Min,F-C,
1,Taj Gibson,123.5,103.9,Min,F,
1,Andrew Wiggins,99.8,111.4,Min,G-F,
1,Derrick Rose,113.6,114.7,Min,G,
1,Jeff Teague,112.4,110.8,Min,G,
,Gorgui Dieng,114.4,99.4,Min,C,
,Robert Covington,114.7,103.3,Min,F,
,James Nunnally,124.4,113.1,Min,F,
,Cameron Reynolds,118,107.4,Min,G,
,Jimmy Butler,121.7,110.4,Min,G-F,
,,,,,,0.4024390244
1,Anthony Davis,122.1,104.5,Nor,F-C,
1,Nikola Mirotic,116.3,104.7,Nor,F,
1,Jrue Holiday,110.9,110.1,Nor,G,
1,E'Twaun Moore,110.1,110.8,Nor,G,
1,Elfrid Payton,105.8,109.6,Nor,G,
,Jahlil Okafor,115.1,104.7,Nor,C,
,Cheick Diallo,119.4,99.2,Nor,F,
,Julius Randle,113.5,103.5,Nor,F,
,Tim Frazier,115.9,106.7,Nor,G,
,Kenrich Williams,105.1,106.4,Nor,G-F,
,,,,,,0.2073170732
1,Enes Kanter,117.7,104.5,Nyk,C,
1,Kevin Knox,93.7,109.4,Nyk,F,
1,Lance Thomas,97.5,106.7,Nyk,F,
1,Trey Burke,106,114.1,Nyk,G,
1,Tim Hardaway Jr.,106.5,111.1,Nyk,G,
,Mitchell Robinson,141.4,97.9,Nyk,C,
,Isaiah Hicks,123.7,99.7,Nyk,F,
,Noah Vonleh,111.7,103.5,Nyk,F,
,Kadeem Allen,116.2,105.7,Nyk,G,
,Courtney Lee,112.7,107.5,Nyk,G,
,,,,,,0.5975609756
1,Steven Adams,119.9,102.7,Okc,C,
1,Paul George,116.5,100.8,Okc,F,
1,Jerami Grant,119.5,103.8,Okc,F,
1,Dennis Schroder,103,104,Okc,G,
1,Russell Westbrook,105.2,97.2,Okc,G,
,Nerlens Noel,122.3,91.8,Okc,F-C,
,Markieff Morris,105.8,95,Okc,F,
,Abdel Nader,101.9,101.2,Okc,F,
