Starter (=1),FULL NAME,TEAM,POS,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,Win %
,,,,,,0.4024390244
1,DeAndre Jordan,Dal,C,121.4,100,
,Salah Mejri,Dal,C,114.7,96.3,
,Kostas Antetokounmpo,Dal,F,39.1,105.1,
1,Harrison Barnes,Dal,F,106,109.5,
,Dorian Finney-Smith,Dal,F,109.7,103.5,
,Justin Jackson,Dal,F,121.8,109.2,
,Maxi Kleber,Dal,F,115.7,103,
,Dirk Nowitzki,Dal,F,96.6,102.9,
,Dwight Powell,Dal,F-C,135.7,100.1,
,J.J. Barea,Dal,G,105.1,107.2,
,Jalen Brunson,Dal,G,110.4,106.7,
,Trey Burke,Dal,G,118.9,109.8,
,Tim Hardaway Jr.,Dal,G,101.8,108.5,
,Devin Harris,Dal,G,106.8,101.3,
,Courtney Lee,Dal,G,97.5,106.1,
,Daryl Macon,Dal,G,92,105.9,
1,Dennis Smith Jr.,Dal,G,96.6,104.4,
,Ryan Broekhoff,Dal,G-F,115.8,106.7,
1,Luka Doncic,Dal,G-F,106.9,105.1,
1,Wesley Matthews,Dal,G-F,109,107.5,
,,,,,,0.6585365854
1,Nikola Jokic,Den,C,119.2,99,
,Torrey Craig,Den,F,114.6,101.1,
,Juancho Hernangomez,Den,F,118.5,105.8,
,Trey Lyles,Den,F,100.3,102.9,
1,Paul Millsap,Den,F,116.3,100.2,
,Jarred Vanderbilt,Den,F,90.2,94.1,
,Mason Plumlee,Den,F-C,117.3,94.5,
1,Will Barton,Den,G,102.3,106.4,
,Malik Beasley,Den,G,117.1,107.8,
1,Gary Harris,Den,G,108,107.2,
,Monte Morris,Den,G,124.2,108.6,
1,Jamal Murray,Den,G,109.8,107.4,
,Isaiah Thomas,Den,G,88.4,105.2,
,Nick Young,Den,G-F,88.9,106.2,
,,,,,,0.5
1,Andre Drummond,Det,C,113.1,95.5,
,Zaza Pachulia,Det,C,114.3,92.1,
,Reggie Bullock,Det,F,113,108.7,
,Henry Ellenson,Det,F,120.1,100,
1,Blake Griffin,Det,F,112.9,104,
1,Stanley Johnson,Det,F,95,100.4,
,Jon Leuer,Det,F,112.6,95.4,
,Thon Maker,Det,F,104.3,103.3,
,Bruce Brown,Det,G,100.7,100.4,
,Jose Calderon,Det,G,102.7,103.4,
,Wayne Ellington,Det,G,113.9,106.4,
,Langston Galloway,Det,G,115.4,106.5,
1,Reggie Jackson,Det,G,111.5,104.8,
1,Luke Kennard,Det,G,110.7,106.9,
,Kalin Lucas,Det,G,140.7,84.8,
,Svi Mykhailiuk,Det,G,96.3,113.6,
,Ish Smith,Det,G,105.5,104.6,
,Khyri Thomas,Det,G,90.9,101.3,
,Glenn Robinson III,Det,G-F,105,106.3,
,,,,,,0.6951219512
,Andrew Bogut,Gol,C,107.8,91.6,
1,DeMarcus Cousins,Gol,C,108.9,93.9,
,Damian Jones,Gol,C,137.7,98.6,
,Jordan Bell,Gol,F,110,103,
,Marcus Derrickson,Gol,F,124,103.7,
1,Kevin Durant,Gol,F,120.9,107.9,
1,Draymond Green,Gol,F,107.9,101.2,
,Jonas Jerebko,Gol,F,121.1,101.6,
,Kevon Looney,Gol,F,137,98.5,
,Alfonzo McKinnie,Gol,F,116.7,99.8,
,Quinn Cook,Gol,G,110.1,106.2,
1,Stephen Curry,Gol,G,119.9,106.3,
,Jacob Evans,Gol,G,85.1,101.2,
,Damion Lee,Gol,G,111.9,105.9,
,Shaun Livingston,Gol,G,118.2,107.9,
1,Klay Thompson,Gol,G,109.9,109.3,
,Andre Iguodala,Gol,G-F,124.4,107.8,
,,,,,,0.6463414634
1,Clint Capela,Hou,C,134.3,104,
,Nene,Hou,C-F,122.5,96.5,
,Carmelo Anthony,Hou,F,103.7,103.4,
,Marquese Chriss,Hou,F,75.8,95.6,
,Gary Clark,Hou,F,108.5,106.5,
,Vincent Edwards,Hou,F,95.6,118.8,
