Starter (=1),FULL NAME,TEAM,POS,ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.,Win %
,Jakob Poeltl,San,C,135.6,102.6,
1,Pau Gasol,San,C-F,120.4,101.1,
1,LaMarcus Aldridge,San,F,117.8,106.4,
,Davis Bertans,San,F,121.9,105.4,
,Dante Cunningham,San,F,121.8,105.5,
,Drew Eubanks,San,F,114.9,101.4,
1,Rudy Gay,San,F,111.5,102.6,
,Chimezie Metu,San,F,79.6,101.6,
,Quincy Pondexter,San,F,123.5,104.8,
,Donatas Motiejunas,San,F-C,72.8,66.2,
1,DeMar DeRozan,San,G,110,106.4,
,Bryn Forbes,San,G,112.8,108.2,
,Patty Mills,San,G,112.5,108.4,
,Lonnie Walker IV,San,G,92.7,105.5,
1,Derrick White,San,G,111.2,104.7,
,Marco Belinelli,San,G-F,108.7,108.5,
,,,,,,0.7073170732
,Marc Gasol,Tor,C,116.5,96.9,
,Greg Monroe,Tor,C,100.9,93.4,
,Jonas Valanciunas,Tor,C,121.3,92.1,
,OG Anunoby,Tor,F,104.7,101.3,
,Chris Boucher,Tor,F,112.8,87.3,
1,Kawhi Leonard,Tor,F,119.8,104.6,
,Malcolm Miller,Tor,F,121.8,106.8,
,Pascal Siakam,Tor,F,120.7,100.6,
1,Serge Ibaka,Tor,F-C,113.3,98.7,
,Eric Moreland,Tor,F-C,86.9,83.5,
1,CJ Miles,Tor,F-G,97.2,100.7,
,Norman Powell,Tor,F-G,110.2,103,
,Lorenzo Brown,Tor,G,81.8,99.4,
,Jeremy Lin,Tor,G,95.7,100.6,
1,Kyle Lowry,Tor,G,114.8,103.3,
,Jordan Loyd,Tor,G,129.7,103.4,
,Patrick McCaw,Tor,G,110.2,99,
,Jodie Meeks,Tor,G,127.1,108.6,
,Malachi Richardson,Tor,G,78.8,100.2,
,Fred VanVleet,Tor,G,114.2,106.4,
,Delon Wright,Tor,G,113.2,105.2,
1,Danny Green,Tor,G-F,119.6,103.7,
,,,,,,0.6097560976
,Tony Bradley,Uta,C,106.5,89.6,
1,Rudy Gobert,Uta,C,133.8,96.7,
,Ekpe Udoh,Uta,C-F,136.2,96.1,
,Jae Crowder,Uta,F,107.2,100.9,
1,Joe Ingles,Uta,F,110.7,102.1,
,Georges Niang,Uta,F,114.8,98.4,
,Royce O'Neale,Uta,F,108.7,98.1,
,Thabo Sefolosha,Uta,F,107.3,98.6,
1,Derrick Favors,Uta,F-C,124.5,98.1,
,Grayson Allen,Uta,G,94.8,100.8,
,Alec Burks,Uta,G,106.4,102.4,
,Dante Exum,Uta,G,105,100.6,
1,Donovan Mitchell,Uta,G,104.6,101.3,
,Naz Mitrou-Long,Uta,G,81.7,100,
,Raul Neto,Uta,G,111.2,99.1,
1,Ricky Rubio,Uta,G,105.1,99,
,Kyle Korver,Uta,G-F,108.7,102.6,
,,,,,,0.3902439024
,Thomas Bryant,Was,C,130.5,106.9,
1,Dwight Howard,Was,C,116.6,98.6,
,Ian Mahinmi,Was,C,113.6,98.1,
,Trevor Ariza,Was,F,109,111.5,
,Troy Brown Jr.,Was,F,105,109.4,
,Sam Dekker,Was,F,108.7,111.8,
,Jeff Green,Was,F,115.3,110.8,
1,Markieff Morris,Was,F,105.9,103.6,
,Kelly Oubre Jr.,Was,F,105.6,107.5,
,Jabari Parker,Was,F,105,106.5,
1,Otto Porter Jr.,Was,F,110.1,108.8,
,Bobby Portis,Was,F,104.6,103.4,
,Devin Robinson,Was,F,127.9,104.4,
,Jason Smith,Was,F-C,110.4,100,
,Wesley Johnson,Was,F-G,77.5,107.6,
,Ron Baker,Was,G,20.2,115,
1,Bradley Beal,Was,G,113.6,110.2,
,Jordan McRae,Was,G,108.8,110.1,
,Gary Payton II,Was,G,135.4,97.7,
,Chasson Randle,Was,G,107.7,106.9,
,Austin Rivers,Was,G,95.3,108.3,
1,John Wall,Was,G,104.1,111.5,
,Tomas Satoransky,Was,G-F,120.7,110.3,
,,,,,,1
